x_value,total_1,total_2
0,1000,1000
1,1001,998
2,997,998
3,992,1001
4,988,1007
5,988,1004
6,996,1002
7,998,1007
8,1004,1005
9,1007,1006
10,1003,1001
11,1002,1001
12,1010,1007
13,1012,1002
14,1007,1005
15,1008,1008
16,1002,1011
17,1002,1008
18,1004,1003
19,1012,1000
20,1014,998
21,1017,1000
22,1015,995
23,1015,995
24,1012,999
25,1019,996
26,1014,992
27,1013,992
28,1011,987
29,1007,984
30,1009,988
31,1017,987
32,1011,983
33,1006,986
34,1010,989
35,1006,988
36,1011,985
37,1015,991
38,1010,991
39,1013,997
40,1011,997
41,1011,995
42,1015,991
43,1014,988
44,1016,994
45,1011,989
46,1015,988
47,1011,992
48,1015,992
49,1023,995
50,1028,994
51,1028,997
52,1024,1000
53,1027,997
54,1031,994
55,1039,995
56,1045,998
57,1052,1001
58,1058,996
59,1066,999
60,1074,1001
61,1069,1004
62,1077,1009
63,1085,1009
64,1086,1014
65,1083,1018
66,1081,1023
67,1088,1027
68,1094,1024
69,1101,1023
70,1104,1026
71,1106,1031
72,1103,1032
73,1106,1029
74,1110,1026
75,1116,1029
76,1117,1031
77,1122,1034
78,1124,1034
79,1130,1032
80,1130,1037
81,1135,1043
82,1132,1042
83,1129,1046
84,1134,1049
85,1128,1054
86,1134,1051
87,1140,1047
88,1139,1051
89,1135,1047
90,1135,1047
91,1142,1044
92,1138,1039
93,1136,1034
94,1138,1034
95,1140,1038
96,1138,1044
97,1133,1050
98,1131,1052
99,1132,1048
100,1140,1052
101,1136,1053
102,1141,1049
103,1145,1048
104,1153,1046
105,1161,1049
106,1163,1050
107,1159,1050
108,1164,1047
109,1165,1052
110,1162,1049
111,1167,1047
112,1172,1052
113,1174,1047
114,1173,1048
115,1178,1052
116,1181,1052
117,1179,1051
118,1177,1054
119,1176,1060
120,1172,1060
121,1170,1059
122,1169,1056
123,1172,1061
124,1178,1057
125,1174,1057
126,1170,1061
127,1175,1063
128,1177,1063
129,1183,1069
130,1186,1074
131,1191,1077
132,1187,1080
133,1186,1082
134,1180,1082
135,1174,1086
136,1173,1089
137,1176,1089
138,1181,1093
139,1183,1088
140,1177,1089
141,1173,1089
142,1175,1091
143,1171,1097
144,1170,1093
145,1176,1095
146,1182,1095
147,1183,1098
148,1183,1094
149,1188,1095
150,1185,1101
151,1190,1100
152,1186,1099
153,1180,1094
154,1179,1094
155,1186,1095
156,1194,1093
157,1202,1088
158,1196,1092
159,1192,1093
160,1189,1099
161,1194,1103
162,1195,1098
163,1202,1098
164,1197,1093
165,1199,1096
166,1196,1100
167,1194,1101
168,1200,1097
169,1207,1097
170,1204,1100
171,1206,1095
172,1210,1092
173,1205,1090
174,1208,1092
175,1210,1095
176,1214,1098
177,1219,1096
178,1221,1096
179,1217,1094
180,1215,1090
181,1222,1094
182,1222,1093
183,1217,1089
184,1211,1085
185,1208,1083
186,1214,1087
187,1212,1084
188,1211,1082
189,1206,1080
190,1213,1086
191,1219,1091
192,1219,1087
193,1219,1082
194,1220,1079
195,1223,1085
196,1219,1090
197,1214,1093
198,1209,1088
199,1207,1084
200,1210,1083
201,1207,1089
202,1204,1091
